['buy', 'AAPL', 143.30999755859375, 1]
['sell', 'AAPL', 143.1199951171875, 1]
['buy', 'AAPL', 143.02000427246094, 1]
['sell', 'AAPL', 143.40499877929688, 1]
['buy', 'AAPL', 143.5, 1]
['sell', 'AAPL', 143.4499969482422, 1]
['buy', 'AAPL', 143.4199981689453, 1]
['sell', 'AAPL', 143.17999267578125, 1]
['buy', 'AAPL', 143.1649932861328, 1]
['sell', 'AAPL', 142.98280334472656, 1]
['buy', 'AAPL', 142.97999572753906, 1]
['sell', 'AAPL', 142.8000030517578, 1]
['buy', 'AAPL', 142.8415985107422, 1]
['sell', 'AAPL', 143.02499389648438, 1]
['buy', 'AAPL', 143.02020263671875, 1]
['sell', 'AAPL', 143.36000061035156, 1]
['buy', 'AAPL', 143.24000549316406, 1]
['sell', 'AAPL', 143.3300018310547, 1]
['buy', 'AAPL', 143.1199951171875, 1]
['sell', 'AAPL', 143.3000030517578, 1]
['buy', 'AAPL', 143.906494140625, 1]
['sell', 'AAPL', 143.8800048828125, 1]
['buy', 'AAPL', 143.58999633789062, 1]
['sell', 'AAPL', 143.6699981689453, 1]
['buy', 'AAPL', 143.72999572753906, 1]
['sell', 'AAPL', 143.66000366210938, 1]
['buy', 'AAPL', 143.58999633789062, 1]
['sell', 'AAPL', 143.44000244140625, 1]
['buy', 'AAPL', 143.44000244140625, 1]
['sell', 'AAPL', 143.3249969482422, 1]
['buy', 'AAPL', 143.5054931640625, 1]
['sell', 'AAPL', 143.41419982910156, 1]
['buy', 'AAPL', 143.47999572753906, 1]
['sell', 'AAPL', 143.64939880371094, 1]
['buy', 'AAPL', 143.90499877929688, 1]
['sell', 'AAPL', 144.11000061035156, 1]
['buy', 'AAPL', 144.35000610351562, 1]
['sell', 'AAPL', 144.2100067138672, 1]
['buy', 'AAPL', 144.17990112304688, 1]
['sell', 'AAPL', 144.1855010986328, 1]
['buy', 'AAPL', 144.10499572753906, 1]
['sell', 'AAPL', 144.13999938964844, 1]
['buy', 'AAPL', 144.16000366210938, 1]
['sell', 'AAPL', 144.41879272460938, 1]
['buy', 'AAPL', 144.58999633789062, 1]
['sell', 'AAPL', 144.3531036376953, 1]
['buy', 'AAPL', 144.30279541015625, 1]
['sell', 'AAPL', 144.40989685058594, 1]
['buy', 'AAPL', 144.398193359375, 1]
['sell', 'AAPL', 144.42129516601562, 1]
['buy', 'AAPL', 144.71490478515625, 1]
['sell', 'AAPL', 144.6750030517578, 1]
['buy', 'AAPL', 144.78770446777344, 1]
['sell', 'AAPL', 144.79010009765625, 1]
['buy', 'AAPL', 144.625, 1]
['sell', 'AAPL', 144.6300048828125, 1]
['buy', 'AAPL', 144.6999969482422, 1]
['sell', 'AAPL', 144.94500732421875, 1]
['buy', 'AAPL', 144.80039978027344, 1]
['sell', 'AAPL', 144.69000244140625, 1]
['buy', 'AAPL', 144.6699981689453, 1]
['sell', 'AAPL', 144.5399932861328, 1]
['buy', 'AAPL', 144.48500061035156, 1]
['sell', 'AAPL', 144.4199981689453, 1]
['buy', 'AAPL', 144.2899932861328, 1]
['sell', 'AAPL', 144.30239868164062, 1]
['buy', 'AAPL', 144.2899932861328, 1]
['sell', 'AAPL', 144.36000061035156, 1]
['buy', 'AAPL', 144.5, 1]
['sell', 'AAPL', 144.2606964111328, 1]
['buy', 'AAPL', 144.0498046875, 1]
['sell', 'AAPL', 143.9250030517578, 1]
['buy', 'AAPL', 143.8699951171875, 1]
['sell', 'AAPL', 143.97000122070312, 1]
['buy', 'AAPL', 144.00999450683594, 1]
['sell', 'AAPL', 144.00999450683594, 1]
['buy', 'AAPL', 144.0500030517578, 1]
['sell', 'AAPL', 144.05999755859375, 1]
['buy', 'AAPL', 143.85870361328125, 1]
['sell', 'AAPL', 143.91000366210938, 1]
['buy', 'AAPL', 143.8800048828125, 1]
['sell', 'AAPL', 143.875, 1]
['buy', 'AAPL', 143.80999755859375, 1]
['sell', 'AAPL', 143.6699981689453, 1]
['buy', 'AAPL', 143.60000610351562, 1]
['sell', 'AAPL', 143.51100158691406, 1]
